Year,Nominal,Real,https://dqydj.com/nikkei-return-calculator-dividend-reinvestment/,VBMFX,CPI-U,Real Bonds,40/60 TR,,,
2007,603367,550952,-20.50%,6.92,4.08126858275519,2.84%,-4.16%,"$487,237.89","$27,247.03","$748,184.88"
2008,358279,325869,-38.77%,5.05,0.091412900645604,4.96%,-8.16%,"$410,748.69","$23,360.49","$665,687.49"
2009,385580,356662,32.53%,5.93,2.72133112620583,3.21%,12.01%,"$415,257.33","$17,663.37","$725,819.86"
2010,389282,361532,0.38%,6.42,1.49572352731431,4.92%,3.56%,"$388,621.34","$20,646.98","$730,286.15"
2011,323104,300675,-16.32%,7.56,2.9624188448711,4.60%,-1.68%,"$342,777.77","$20,515.12","$697,873.89"
2012,390503,363762,28.57%,4.05,1.74102236874756,2.31%,10.19%,"$333,626.24","$18,200.91","$748,921.35"
2013,602976,552778,46.15%,-2.26,1.50173561961839,-3.76%,11.21%,"$326,549.63","$20,958.00","$809,587.60"
2014,,,9.82%,5.76,0.756493269655745,5.00%,6.45%,"$305,029.37","$25,467.77","$834,688.14"
2015,,,1.72%,0.3,0.729519786041588,-0.43%,0.21%,"$265,598.48","$26,602.13","$809,821.26"
,,,,,,,,,"$25,467.77",
