Year,1 year,2 year,3 year,5 year,7 year,10 year
1981,0.1408,0.1326,0.1301,0.1277,0.1266,0.1257
1982,0.1432,0.1457,0.1464,0.1465,0.1467,0.1459
1983,0.0862,0.0933,0.0964,0.1003,0.1036,0.1046
1984,0.099,0.1064,0.1093,0.1137,0.1158,0.1167
1985,0.0902,0.0993,0.1043,0.1093,0.1127,0.1138
1986,0.0773,0.0814,0.0841,0.0868,0.0903,0.0919
1987,0.0578,0.0623,0.0641,0.0664,0.0692,0.0708
1988,0.0699,0.0763,0.0787,0.0818,0.0848,0.0867
1989,0.0905,0.0918,0.092,0.0915,0.0914,0.0909
1990,0.0792,0.0809,0.0813,0.0812,0.082,0.0821
1991,0.0664,0.0713,0.0738,0.077,0.0797,0.0809
1992,0.0415,0.0496,0.054,0.0624,0.067,0.0703
1993,0.035,0.0439,0.0493,0.0583,0.0626,0.066
1994,0.0354,0.0414,0.0448,0.0509,0.0543,0.0575
1995,0.0705,0.0751,0.0766,0.0776,0.0779,0.0778
1996,0.0509,0.0511,0.052,0.0536,0.0554,0.0565
1997,0.0561,0.0601,0.0616,0.0633,0.0647,0.0658
1998,0.0524,0.0536,0.0538,0.0542,0.0553,0.0554
1999,0.0451,0.0462,0.0461,0.046,0.048,0.0472
2000,0.0612,0.0644,0.0649,0.0658,0.067,0.0666
2001,0.0481,0.0476,0.0477,0.0486,0.0513,0.0516
2002,0.0216,0.0303,0.0356,0.0434,0.0479,0.0504
2003,0.0136,0.0174,0.0218,0.0305,0.036,0.0405
2004,0.0124,0.0176,0.0227,0.0312,0.0365,0.0415
2005,0.0286,0.0322,0.0339,0.0371,0.0397,0.0422
2006,0.0445,0.044,0.0435,0.0435,0.0437,0.0442
2007,0.0506,0.0488,0.0479,0.0475,0.0475,0.0476
2008,0.0271,0.0248,0.0251,0.0298,0.0331,0.0374
2009,0.0044,0.0081,0.0113,0.016,0.0198,0.0252
2010,0.0035,0.0093,0.0149,0.0248,0.0321,0.0373
2011,0.0027,0.0061,0.0103,0.0199,0.0272,0.0339
2012,0.0012,0.0024,0.0036,0.0084,0.0138,0.0197
2013,0.0015,0.0027,0.0039,0.0081,0.013,0.0191
2014,0.0012,0.0039,0.0078,0.0165,0.0229,0.0286
2015,0.002,0.0055,0.009,0.0137,0.0167,0.0188
2016,0.0054,0.009,0.0114,0.0152,0.0185,0.0209
